|Index|Comment|Positive
0|0|"For years I roasted my own beans and the only reason I don't do it much lately is because I just don't ever have the time. So you end up too often roasting a batch of beans at 6 am so you can have a morning cup. Which means you're grinding and perking warm beans which is not optimal.So too much of a hassle and while I still do the occasional batch to my own particular taste, I have shopped around for a reliable substitute.The first thing I discovered is that you can pay a lot of money for some really mediocre to lousy beans. But I eventually managed tofind some primo stuff and this is one I highly recommend.I'm not going to give you all that ""floral notes and finish of absinthe"" nonsense.  It's just good coffee, dark and rich and never bitter. These guys do a good job and you ought to give it a try. Maybe you'll like it and maybe it won't be exactly what you're looking for but either way you won't feel like you paid a premium price for a bag of mud,"|1
1|1|"After all these years, still the best coffee you can get.  Keep in mind that even the book about the history of Starbucks has a mention of how they wanted to model their product after Peet's... and Peet's just cares so much about flavor, roasting, complexity, etc., etc. that you can't go wrong.  You might say ""welllllll, my local coffee house does an amazing job"", but you know what, most local coffee roasters still don't have the expertise or the equipment, or the scientists and artists behind Peet's coffee... even Starbucks supposedly over-roasts their beans for consistency, and Starbucks is a little too speedy and anxiety causing for me.  Peet's is to Coffee what a great vintner is to wine... they're true connoisseurs.  Enjoy!  Also, as a suggestion, just keep shopping and shopping and shopping and eventually you'll see some great deals on here..."|1
2|2|This is a good, strong coffee. It's not the original Major Dickason's Blend that put Peet's on the map in the late 1980's though. Back then the beans were quite rich and a real treat. As with any coffee bean over the years, crops change, so beans are not quite the same. I have found this to be true when ordering any of my favorites directly from Peet's over the past few years or via Amazon.I wouldn't call the newest incarnation of this blend bitter, but it is a tiny bit acidic. To balance the acidity, I usually put 2 scoops of Peet's French Roast in for a fuller body and smoothness. For me. that's the perfect cup as I love full-bodied, strong, but low acidity coffees that have a richness to them.I have read the reviews about receiving a stale bag after receiving one for the first time last week (use by date was only 6 days away and roast date was in the Fall of 2017). I would advise anyone going through Prime to just chat with them about this instead of negative comments. They have wonderful customer service reps who will take care of the matter. It would be a shame if this is the first time you tried the Major Dickason's Blend and didn't enjoy a fresh, robust cup. While not my favorite Peet's blend due to the acidity of late, it's still really good compared to other bagged coffees. If you like a weaker cup, just reduce by one scoop. It doesn't get watery, just a bit less in your face.|1
3|3|"At times, making a good espresso seems to be a fleeting event. I do find with Peet’s Major Dickason’s whole coffee beans, my results are more reliable and consistent.While I drink several other beans and constantly try others, Peet's Major Dickason's Whole Beans are my go to coffee several days a week.I am a dedicated espresso drinker, but it has taken me years to make a good espresso at home. Saying ""good"" however, is a matter of opinion. I have had good espressos at some cafes and restaurants, but most of the time, I am disappointed, and yet these places have loyal customers, who buy the same espresso and enjoy it. For me a good espresso is dependent on three things:1. The quality of the beans2. The equipment3. The techniqueStarting with a simple screw on cover espresso machine, I have upgraded a couple of times over twenty years. I started with the standard Krups electric spice and bean grinder and while the grind was not consistent, I did not know anything else. I still have that grinder, and now, I only use it for spices.For me, a burr grinder was a turning point, but I never thought I would own one. After reading a couple Kindle e-books and scouring the web, I became obsessed with improving my technique, and to my surprise, my wife gave me a Rancillio burr grinder. (Great wife!).Along the way, I discovered Peet’s Major Dickason’s whole beans and then found it on Amazon for a great price, with Prime Shipping. It has become a solid performer for me, and while I go through periods of success and failure with any beans, Peet’s Major Dickason's whole beans are consistent. They give me a smooth cup, when I make it right. I have used many other beans, and have a few other favorites, but Peet’s Major Dickason’s is my day-to-day go to coffee.I made the mistake of ordering the ground coffee (vs. whole beans) a month ago, and could not use it for espresso. I tried using it in my Moka Pot, but the grind was too coarse. I immediately ordered the whole beans, because the price is typically as good I can find it locally, and as a Prime member, I get the beans in two days. Why go to the store, when I can have them quickly delivered to my home?My other performers are Bella Finca (Henry’s House of Coffee, San Francisco) and one of Atomic Coffee Roasters espresso (Beverly, MA). Atomic has two different espresso beans, but I cannot recall the one I like better. Both are sold by GoCoffeeGo on Amazon. GoCoffeeGo has a $5 shipping charge, so those coffees are too expensive for my normal budget. I have enjoyed the Kicking Horse coffees on Amazon: Kick Ass, Grizzly Claw and their 454 Horse Power, in that order. I find, as mentioned by other reviewers, that Kick Ass beans are inconsistent, which is very disappointing. Recently it doesn’t even taste like the same coffee I have had from them for the past eight months, otherwise, I would drink more of it.As to technique, my preference is to keep my beans in a steel vacuumed coffee canister on the counter, measuring out 15.6 grahams of beans, a fine ground (it’s all relative, I grind it to get my targeted pour time and taste), a firm five-point tamping method, preheated cup and saucer, and 25 +/- second pour. I strive for a dark honey colored stream, with plenty of crèma, which I read is the “Holy Grail” of the espresso world. The delectable brew is captured in a little measuring marked shot glass. I do a lot of praying during these moments, I talk nicely to all my equipment and cheer them on. When everything lines up, the result is a perfect cup for me. There are days where I must walk away from my attempts. At times, making a good espresso seems to be a fleeting event. I do find with Peet’s Major Dickason’s whole coffee beans, my results are more reliable and in my world, a good smooth doppio (2 ounces) with a nice crèma, is a wonderful thing."|1
4|4|Disappointed. Received the package 12/20 that was roasted 9/18 and best by 12/17 so past the best by date. Usually when ordering via Amazon things are much fresher. I won't be ordering this product again. Which is a shame because it is quite good. Usually you get a discount for out of date products not a full price tag.|0
5|5|This is a review for the addon listing of Peet's Major Dickerson blend.I've been a Peet's convert for a while now, in fact Peet's ruined my preference for medium roasts with it's Maj D blend and I was quite a coffee snob willing to spend more for quality at other website roasters typically ordering around 7 lbs a month.  But when I discovered Maj D I was surprised at how rich, complex and satisfying of a roast it was.  For a while I ordered from their website but I'd check in with amazon from time to time and saw they had this listing while shopping one day.  Gave it a shot as I'm always a bit cautious about ordering whole beans off of Amazon when its Prime but knowing what the roast to order tasted like I had a good foundation for comparison.  I can happily say its the same and at the price listing (I have no trouble hitting that $25 minimum) its a solid win.  I often shop around trying other roasters/blends, but Peet's is my roaster of choice, they really are for my tastes, the best.|1
6|6|"I don't have enough time to write as many reviews as I did years ago, and via my participation with Amazon's Vine Voice program I get free items in exchange for my unbiased review so it is EXTREMELY infrequently that I write a review just for the reason of ""this product is absolutely the best.""I don't remember the first time I got to experience Peet's Major Dickason, but it was years ago and, ever since, as far as I'm concerned, there's not really a use for any other coffee.The sense of smell is one most closely tied to a strong emotional reaction. Think about the smell of frying bacon, or the smell of a really fine bakery, or a fragrant, blooming rose. Major Dickason's is that kind of smell - it's not just a *good smell.* No, it's a smell that's so good it conjures up in my head the best feelings and emotions. If you haven't had the pleasure you may be wondering ""well.... what does it smell like?""Coffee. It smells like coffee - but it smells like the best coffee imaginable: like God gave you a nose for no reason other than to smell Major Dickason's.It's worth mentioning that it tastes as good as it smells. I constantly have Major Dickason's k-cups around for when I'm pressed for time and I just HAVE to have a cup of coffee. I also constantly have whole beans, which I grind fresh and brew either in the keurig or the ninja - but the truth is Major Dickason's will turn a cheap 10 dollar coffee pot into a barista-inspired heaven that the most expensive coffee-brewing equipment, without Major Dickason's, can't hope to duplicate.Peet's Major Dickason's is one of the ways I know God loves us."|1
7|7|This is the only coffee that should exist. Major Dickason’s Blend is so dark that it sponsors Kylo Ren and The First Order.If you like your coffee to taste like coffee should, buy a couple bags of this every month and buckle up.|1
8|8|I've found Peet's coffee to be the finest & tastiest available at (nearly) any price.  The quality, consistency & flavor are well above average.  This Dickason's Decaf may be the finest cup of unleaded Joe you'll ever have.  I've searched for many years to find the perfect cup (of decaf) and this might just be it.Nothing from Folgers, Gevalia, Seattle's Best, Community, J&B, Starbucks or otherwise, even comes close.  Smooth, ripe coffee flavor with a deeply satisfying dark(ish) roast.  Well rounded & full flavor profile with scarcely any acid.  Has enough character and fortitude to substitute well for espresso, when pressed.  It's seriously satisfying, no-compromise Decaf... and I never thought I'd say that.  Cheers!|1
9|9|UPDATED April 2018: Peet's stop making the decaf house blend over 6 months ago. On February I saw it back here and  I purchased 4 of them thinking that after it was discontinue they brought it back, big mistake, this is nothing like the old decaf house blend, it is bitter and the flavor is very bad. I wasted my money buying these. Not sure why they even call it the same if it is different coffee taste. I trashed all of them.By far one of the best decaf coffees out there. It is better if you purchase it fresh from their store. This one you'll need to grind a little more if using for espresso which I do. My friends can't tell is decaf, I have one friend that always tell me no decaf for me, I only drink real coffee and can tell,  I will  not drink decaf, well, she had been drinking this one every time she comes over and doesn't know. Very sneaky of me but it tells you how much it taste like the real thing. LOL|0
